1106,-619,188
993,74,188
938,431,188
911,612,188
885,791,188
862,952,188
833,1166,188
818,1277,188
790,1495,188
767,1678,188
748,1827,188
718,2070,188
706,2176,188
696,2266,188
675,2458,187
657,2618,187
640,2755,187
626,2874,187
616,2938,187
591,3079,187
574,3162,187
533,3304,187
507,3363,187
487,3402,186
446,3461,186
397,3512,186
371,3533,186
316,3569,187
274,3587,187
222,3605,187
144,3625,188
87,3637,188
3,3654,187
-96,3681,187
-138,3696,186
-171,3710,186
-223,3739,186
-258,3762,185
-296,3790,185
-319,3808,184
-356,3837,184
-384,3861,185
-456,3922,184
-482,3945,184
-545,3996,184
-586,4025,184
-649,4061,182
-687,4076,183
-731,4086,183
-758,4088,183
-802,4086,183
-831,4081,183
-878,4066,182
-905,4052,183
-915,4046,183
-945,4025,183
-966,4006,183
-985,3985,183
-1010,3951,183
-1043,3892,183
-1059,3854,183
-1070,3824,184
-1083,3782,184
-1090,3757,184
-1098,3724,184
-1110,3665,184
-1116,3626,184
-1124,3568,184
-1129,3515,184
-1131,3453,182
-1132,3396,182
-1130,3355,181
-1128,3309,181
-1122,3252,180
-1117,3209,179
-1111,3165,178
-1094,3075,177
-1078,3008,177
-1063,2952,177
-1050,2910,177
-1028,2841,176
-1000,2763,177
-964,2666,177
-947,2623,177
-911,2536,178
-887,2476,179
-857,2405,180
-834,2350,181
-817,2312,181
-787,2240,183
-759,2173,184
-738,2122,185
-708,2047,186
-687,1994,187
-652,1905,188
-621,1820,189
-591,1733,189
-580,1702,189
-560,1638,190
-538,1567,190
-499,1422,190
-480,1336,190
-459,1221,189
-444,1111,190
-439,1064,189
-435,1000,189
-433,949,189
-431,906,189
-430,852,189
-433,764,189
-441,690,188
-449,637,188
-458,601,188
-497,498,188
-521,455,187
-552,412,187
-581,379,188
-601,361,188
-657,318,187
-716,285,187
-783,255,187
-817,243,187
-896,218,187
-969,200,187
-1059,182,187
-1093,177,187
-1167,168,188
-1212,163,188
-1247,160,188
-1365,154,188
-1418,153,188
-1436,153,188
-1474,153,188
-1530,154,188
-1615,158,188
-1689,163,188
-1746,168,188
-1781,171,188
-1891,181,188
-2175,207,188
-2245,213,188
-2361,223,189
-2460,232,189
-2561,240,189
-2622,245,189
-2725,254,189
-2809,261,190
-2943,272,190
-3080,282,190
-3095,283,190
-3197,290,189
-3338,301,188
-3435,309,188
-3570,319,188
-3687,329,188
-3871,343,188
-3933,348,188
-4019,355,188
-4169,367,188
-4247,374,188
-4376,385,188
-4488,395,188
-4560,402,188
-4617,408,188
-4767,425,188
-4908,446,187
-5013,465,190
-5118,487,190
-5509,614,191
-5596,653,191
-5650,678,191
-5743,725,191
-5874,796,191
-5959,845,191
-6037,891,191
-6050,899,190
-6175,973,190
-6228,1004,190
-6328,1065,190
-6442,1134,190
-6558,1205,190
-6661,1268,190
-6813,1361,190
-6877,1401,190
-6927,1433,190
-7036,1504,190
-7084,1535,190
-7182,1599,190
-7278,1662,190
-7355,1713,190
-7466,1786,190
-7537,1835,191
-7557,1848,191
-7612,1885,191
-7704,1949,191
-7785,1997,191
-7799,2005,191
-7859,2034,191
-7932,2066,191
-8023,2099,191
-8074,2115,192
-8132,2130,192
-8189,2140,193
-8257,2145,193
-8317,2140,193
